Name,NA_sales,EU_sales,JP_sales,other_sales
MX vs. ATV Supercross Encore,0.02,0.05,0,0.01
MX vs. ATV Unleashed,1.18,0.1,0,0.15
MX vs. ATV Unleashed: On the Edge,0.64,0,0,0.05
MX vs. ATV Untamed,1.97,0.36,0,0.32
MX vs. ATV: Alive,0.61,0.29,0,0.12
MX World Tour Featuring Jamie Little,0.11,0.08,0,0.02
MXGP 2,0.04,0.08,0,0.01
MXRider,0.16,0.13,0,0.04
My Amusement Park,0.06,0,0,0
My Animal Centre,0,0.02,0,0
My Baby 3 & Friends,0.13,0.02,0,0.01
My Baby Boy,0.3,0.02,0,0.03
My Baby Girl,0.61,0.1,0,0.06
My Baby: First Steps,0.4,0.03,0,0.03
My Ballet Studio,0.03,0,0,0
My Body Coach,0,0.04,0,0.01
My Boyfriend,0.1,0,0,0.01
My Chinese Coach,0.11,0.01,0,0.01
My DoItAll,0.02,0,0,0
My Dress-Up,0.06,0.01,0,0.01
My English Coach: Para Hispanoparlantes,0.08,0,0,0.01
My Farm Around the World,0.11,0,0,0.01
My Fashion Studio,0.41,0.01,0,0.03
My First Dollhouse,0.1,0,0,0.01
My First Songs,0,0.07,0,0.01
My Fitness Coach,1.2,0.9,0,0.24
My Fitness Coach 2: Exercise and Nutrition,0.14,0.04,0,0.02
My Fitness Coach: Club,0,0.15,0,0.05
My French Coach,0.15,0.02,0,0.01
My Friends,0.07,0,0,0.01
My Frogger: Toy Trials,0.02,0,0,0
My Fun Facts Coach,0.07,0,0,0.01
My Healthy Cooking Coach,0.09,0,0,0.01
My Hero Academia: Battle for All,0,0,0.03,0
My Hero: Doctor,0.02,0,0,0
My Horse & Me,0.6,0.02,0,0.06
My Horse & Me: Riding for Gold,0.09,0.03,0,0.01
My Japanese Coach,0.25,0,0,0.02
My Little Baby,0,0.01,0,0
My Little Pony: Pinkie Pie's Party,0.72,0,0,0.06
My Little Sister Can't Be This Cute Portable,0,0,0.11,0
My Make-Up,0.08,0,0,0.01
My Pet Chimp,0.06,0,0,0
My Pet Shop,0.06,0,0,0
My Pet Shop (JP sales),0,0,0.03,0
My SAT Coach with The Princeton Review,0.1,0,0,0.01
My Secret World by Imagine,0,0.2,0,0
My Spanish Coach,0.52,0.01,0,0.04
My Stop Smoking Coach: Allen Carr's EasyWay,0.07,0.01,0,0.01
My Street,0.12,0.09,0,0.03
My Virtual Tutor: Reading Adventure First to Second Grade,0.38,0,0,0.03
My Virtual Tutor: Reading Adventure Kindergarten to First,0.25,0,0,0.02
My Virtual Tutor: Reading Adventure Pre-K to Kindergarten,0.29,0,0,0.02
My Weight Loss Coach,0.3,0.54,0,0.11
My Word Coach,0.83,0.92,0,0.22
"My World, My Way (US sales)",0.04,0,0,0
Myself; Yourself,0,0,0.01,0
MySims,2.5,2.18,0.12,0.58
MySims Agents,1.17,0.75,0,0.21
MySims Collection,0.13,0,0,0.01
MySims Kingdom,1.52,1.25,0.02,0.34
MySims Party,0.33,0.15,0,0.05
MySims Racing,0.45,0.52,0,0.12
MySims SkyHeroes,0.57,0.2,0,0.08
Myst,0.11,2.8,0.13,0.01
Myst III: Exile,0.18,0.12,0,0.04
Myst IV: Revelation,0.05,0.01,0,0
Mystereet,0,0,0.01,0
Mystery Case Files: MillionHeir,0.76,0.4,0,0.12
Mystery Case Files: Ravenhearst,0.01,0.02,0,0.01
Mystery Case Files: The Malgrave Incident,0.19,0.17,0,0.03
Mystery Dungeon: Shiren the Wanderer,0.18,0,0.73,0.02
Mystery Legends: Beauty and the Beast,0,0.01,0,0
Mystery P.I. - Portrait of a Thief,0.11,0,0,0.01
Mystery Stories: Curse of the Ancient Spirits,0.05,0.04,0,0.01
Mystery Tales 2: The Spirit Mask,0,0.02,0,0
Mystery Tales of Time Travel,0.01,0.16,0,0.02
Mystery Trackers: The Void,0,0.02,0,0.01
Mystic Ark,0,0,0.13,0
Mystic Heroes,0.06,0.03,0.04,0.01
Mystical Ninja starring Goemon,0.07,0.02,0.23,0.04
Myth Makers: Orbs of Doom,0.05,0,0,0
Myth Makers: Super Kart GP,0.01,0,0,0
Myth Makers: Trixie in Toyland,0.04,0,0,0
Mytran Wars,0.08,0.02,0,0.02
N+,0.09,0,0,0
N2O: Nitrous Oxide,0.09,0.06,0,0.01
N3 II: Ninety-Nine Nights,0.06,0.07,0.04,0.01
N3: Ninety-Nine Nights,0.2,0.03,0.05,0.02
Nacho Libre,0.03,0,0,0
Nagano Winter Olympics 98,0.15,0.04,0.13,0
Nagano Winter Olympics '98,0.07,0.05,0,0.01
nail'd,0.16,0.04,0,0.03
Nakayoshi All-Stars: Mezase Gakuen Idol,0,0,0.01,0
Namco Classic Fighter Collection,0.08,0.06,0,0.02
Namco Museum,5.98,1.42,0.05,0.15
Namco Museum 50th Anniversary (JP sales),0,0,0.02,0
Namco Museum 64,1.24,0.17,0.03,0.01
Namco Museum Battle Collection,0.75,0.18,0,0.16
Namco Museum Battle Collection (JP sales),0,0,0.02,0
Namco Museum DS,1.18,0.01,0.06,0.09
Namco Museum Megamix,0.2,0,0,0.01
Namco Museum Remix,0.68,0,0,0.05
Namco Museum Vol.1,2.12,1.44,0.22,0.06
Namco Museum Vol.2,0.03,0.02,0.21,0.02
Namco Museum Vol.3,2.28,1.55,0.16,0.06
Namco Museum Vol.4,0.02,0.01,0.16,0.01
Namco Museum Vol.5,0.02,0.01,0.12,0.01
Namco Museum: 50th Anniversary,2.52,1.48,0,0.56
Namco Museum: Virtual Arcade,0.27,0.01,0.01,0.02
Namco Soccer Prime Goal,0,0,0.12,0.01
Namco Tennis Smash Court,0,0,0.23,0.02
NANA: Live Staff Daiboshuu! Shoshinsha Kangei,0,0,0.02,0
Nanashi no Game,0,0,0.08,0
Nanashi no Game Me,0,0,0.03,0
Nanatsuiro * Drops Pure!!,0,0,0.02,0
Nancy Drew: Alibi In Ashes,0.03,0,0,0
Nancy Drew: The Hidden Staircase,0.16,0,0,0.01
Nancy Drew: The Model Mysteries,0.09,0,0,0.01
Nancy Drew: The Mystery of the Clue Bender Society,0.24,0,0,0.02
Nancy Drew: The White Wolf of Icicle Creek,0.14,0,0,0.01
Nanda's Island,0.04,0,0,0
Nano Assault,0.08,0,0,0.01
Nano Diver,0,0,0.02,0
NanoBreaker,0.03,0.02,0,0.01
Nanostray,0.05,0,0,0
Nanostray 2,0.03,0.01,0,0
Nanotek Warrior,0.01,0.01,0,0
Napoleon Dynamite: The Game,0.05,0,0,0
Napoleon: Total War,0.02,0.52,0,0.12
Naraku no Shiro,0,0,0.01,0
NARC,0.32,0.18,0,0.06
Narcissus: Moshimo Ashita ga Runara,0,0,0.02,0
Naruto RPG 2: Chidori vs Rasengan,0,0,0.14,0
Naruto RPG 3: Rejiuu vs Konoha Shoutai,0,0,0.09,0
Naruto Shippuden 3D: The New Era,0,0.04,0.06,0.01
Naruto Shippuden: Clash of Ninja Revolution 3,0.45,0.04,0,0.04
Naruto Shippuden: Dairansen! Kage Bunshin Emaki,0,0,0.04,0
Naruto Shippuden: Dragon Blade Chronicles,0.11,0.02,0.05,0.01
Naruto Shippuden: Gekito Ninja Taisen! EX,0,0,0.1,0
Naruto Shippuden: Gekito Ninja Taisen! EX 2,0,0,0.09,0
Naruto Shippuden: Gekito Ninja Taisen! EX 3,0,0,0.07,0
Naruto Shippuden: Gekito Ninja Taisen! Special,0,0,0.06,0
Naruto Shippuden: Kizuna Drive,0.04,0.02,0.05,0.02
Naruto Shippuden: Legends: Akatsuki Rising,0.14,0,0,0.01
Naruto Shippuden: Naruto vs. Sasuke,0.08,0,0.03,0.01
Naruto Shippuden: Ninja Council 4,0.09,0,0.13,0.01
Naruto Shippuden: Ninja Destiny 2,0.19,0.03,0.13,0.02
Naruto Shippuden: Ninja Destiny 3,0,0.01,0.13,0
Naruto Shippuden: Shinobi Rumble,0.03,0,0.05,0
Naruto Shippuden: Ultimate Ninja 4,0.26,0.01,0.13,0.26
Naruto Shippuden: Ultimate Ninja 5,0,0,0.17,0
Naruto Shippuden: Ultimate Ninja Heroes 3,0.13,0.04,0.19,0.03
Naruto Shippuden: Ultimate Ninja Impact,0.09,0.07,0.15,0.04
Naruto Shippuden: Ultimate Ninja Storm 2,0.85,0.74,0.16,0.25
Naruto Shippuden: Ultimate Ninja Storm 3,0.61,0.5,0.16,0.19
Naruto Shippuden: Ultimate Ninja Storm 4,0.58,0.47,0.1,0.19
Naruto Shippuden: Ultimate Ninja Storm Collection,0,0.02,0,0
Naruto Shippuden: Ultimate Ninja Storm Generations,0.53,0.39,0.15,0.12
Naruto Shippuden: Ultimate Ninja Storm Revolution,0.28,0.24,0.09,0.1
Naruto Shippuuden: Shinobi Retsuden III,0,0,0.04,0
Naruto Ultimate Collection,0.06,0.04,0,0.01
Naruto: Clash of Ninja,0.53,0.14,0,0.02
Naruto: Clash of Ninja (JP sales),0,0,0.21,0.01
Naruto: Clash of Ninja 2,0.44,0.12,0.45,0.03
Naruto: Clash of Ninja Revolution,0.45,0.46,0,0.11
Naruto: Clash of Ninja Revolution 2,0.34,0.02,0,0.03
Naruto: Gekito Ninja Taisen! 3,0,0,0.43,0.01
Naruto: Gekito Ninja Taisen! 4,0,0,0.32,0.01
Naruto: Ninja Council,0.16,0.06,0,0
Naruto: Ninja Council 2 European Version,0,0,0.23,0
Naruto: Ninja Council 3,0.39,0,0,0.03
Naruto: Ninja Destiny,0.02,0.01,0.16,0
Naruto: Ninja Destiny (US sales),0.31,0,0,0
Naruto: Path of the Ninja,0.37,0,0,0.03
Naruto: Path of the Ninja 2,0.22,0,0,0.02
Naruto: Powerful Shippuden,0.08,0.02,0.04,0.01
Naruto: Rise of a Ninja,0.29,0.02,0,0.03
Naruto: The Broken Bond,0.24,0.28,0,0.07
Naruto: Ultimate Ninja,0.5,0.02,0,0.08
Naruto: Ultimate Ninja (JP sales),0,0,0.32,0
Naruto: Ultimate Ninja 2,0.47,0.02,0,0.08
Naruto: Ultimate Ninja 3,0.36,0.01,0,0.06
Naruto: Ultimate Ninja 3 (JP sales),0,0,0.36,0
Naruto: Ultimate Ninja Heroes,0.26,0,0,0
Naruto: Ultimate Ninja Heroes (JP sales),0,0,0.06,0
Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,0.14,0,0,0.01
Naruto: Ultimate Ninja Storm,0.49,0.35,0.09,0.16
Naruto: Uzumaki Chronicles 2,0.28,0.22,0,0.07
Naruto: Uzumaki Chronicles 2 (JP sales),0,0,0.05,0
NASCAR,0.09,0,0,0.01
NASCAR 06: Total Team Control,0.73,0.08,0,0.1
NASCAR 07,0.09,0.05,0,0.01
NASCAR 08,0.53,0.14,0,0.08
NASCAR 09,0.71,0.21,0,0.11
NASCAR '14,0.24,0,0,0.02
NASCAR '15,0.15,0,0,0.02
NASCAR 2000,1.37,0.63,0,0.1
NASCAR 2001,0.79,0.58,0,0.14
NASCAR 2005: Chase for the Cup,1.13,0.66,0,0.2
NASCAR 2011: The Game,0.76,0,0,0.05
NASCAR 98,1.43,0.05,0,0.04
NASCAR 99,2.39,0.08,0,0.05
NASCAR Heat,0.22,0.15,0,0.03
NASCAR Heat 2002,0.56,0.31,0,0.09
NASCAR Heat Evolution,0.05,0,0,0.01
NASCAR Kart Racing,0.39,0,0,0.03
NASCAR Racing,0.23,0.16,0,0.03
NASCAR Rumble,0.31,0.21,0,0.04
NASCAR The Game: Inside Line,0.16,0,0,0.02
NASCAR Thunder 2002,1.05,0.67,0,0.19
NASCAR Thunder 2003,1.04,0.58,0,0.18
NASCAR Thunder 2004,0.71,0.46,0,0.15
NASCAR Unleashed,0.56,0,0,0.04
NASCAR: Dirt to Daytona,0.35,0.24,0,0.07
Natalie Brooks: Mystery at Hillcrest High,0,0.02,0,0
NatGeo Challenge! Wild Life,0.09,0.05,0,0.01
National Geographic Challenge!,0.15,0.05,0,0.02
National Geographic Panda (JP sales),0,0,0.01,0
National Geographic Panda (US sales),0.04,0,0,0
Natsuiro High School: Seishun Hakusho,0,0,0.04,0
Natsuiro no Sunadokei,0,0,0.02,0
Natsuzora no Monologue,0,0,0.01,0
Natural Doctrine,0.11,0.05,0.06,0.03
Naughty Bear,0.39,0.34,0,0.11
Naval Assault: The Killing Tide,0.08,0.07,0,0.02
Naval Ops: Commander,0.03,0.02,0,0.01
Naval Ops: Warship Gunner,0.05,0.04,0,0.01
Naxat Soft Reachmania Vol. 1: CR Galaxy Angel,0,0,0.01,0
Nayuta no Kiseki,0,0,0.14,0
Nazo Waku Yakata: Oto no Ma ni Ma ni,0,0,0.05,0
Nazotoki Battle Tore! Densetsu no Makyuu o Fukkatsu Saseyo!,0,0,0.06,0
NBA,0.2,0,0,0.02
NBA 06,0.46,0.2,0,0.09
NBA 07,0.43,0.01,0.01,0.04
NBA 08,0.21,0.05,0,0.03
NBA 09: The Inside,0.38,0.06,0,0.04
NBA 10: The Inside,0.07,0,0,0.01
NBA 2K,0,0,0.05,0
NBA 2K10,2.62,0.04,0.01,0.26
NBA 2K11,4.63,0.35,0.04,0.42
NBA 2K12,4.53,0.52,0.06,0.41
NBA 2K13,4.79,0.74,0.06,0.5
NBA 2K14,5.12,0.95,0.05,0.6
NBA 2K15,5.01,1.13,0.03,0.89
NBA 2K16,5.64,1.14,0.06,1.17
NBA 2K17,1.44,0.19,0,0.31
NBA 2K2,0.83,0.52,0.01,0.16
NBA 2K3,0.87,0.5,0,0.14
NBA 2K6,0.91,0.43,0,0.14
NBA 2K7,1.5,0.07,0,0.19
NBA 2K8,1.79,0.03,0,0.2
NBA 2K9,1.9,0.17,0,0.22
NBA Ballers,1.18,0.74,0,0.23
NBA Ballers: Chosen One,0.29,0,0,0.02
NBA Ballers: Phenom,0.32,0.21,0,0.06
NBA Ballers: Rebound,0.09,0,0,0.01
NBA Courtside 2 featuring Kobe Bryant,0.2,0.05,0,0
NBA Courtside 2002,0.19,0.05,0,0.01
NBA Hangtime,0.51,0.1,0,0
NBA Hoopz,0.16,0.12,0,0.03
NBA In The Zone,0.16,0.11,0,0.02
NBA in the Zone 2000,0.16,0.08,0,0.01
NBA In The Zone '98,0.25,0.02,0,0
NBA In The Zone '99,0.04,0,0,0
NBA Inside Drive 2002,0.28,0.08,0,0.01
NBA Inside Drive 2003,0.23,0.07,0,0.01
NBA Inside Drive 2004,0.13,0.04,0,0.01
NBA Jam,4.11,0.85,0,0.25
NBA Jam 2000,0.12,0.01,0,0
NBA Jam 2002,0.08,0.03,0,0
NBA Jam 99,0.25,0.02,0,0
NBA Jam Extreme,0.12,0.08,0,0.01
NBA Jam Tournament Edition,1.96,0.35,0,0.07
NBA Live 06,1.48,0.11,0,0.09
NBA Live 06 (All region sales),1.44,0.15,0,0.05
NBA Live 06 (Weekly american sales),1.35,0.05,0,0.02
NBA Live 07,2,0.05,0.02,0.25
NBA Live 08,2.07,0.04,0.02,0.23
NBA Live 09,1.51,0.22,0.06,0.22
NBA Live 09 All-Play,0.19,0.01,0,0.02
NBA Live 10,1.07,0.05,0.02,0.1
NBA Live 14,0.3,0.07,0,0.04
NBA Live 15,0.32,0.06,0,0.06
NBA Live 16,0.18,0.05,0,0.04
NBA Live 2000,1.85,0.07,0,0.03
NBA Live 2001,1.22,0.87,0.04,0.21
NBA Live 2002,1.55,0.93,0,0.29
NBA Live 2003,1.79,0.25,0.03,0.24
NBA Live 2004,2.22,0.27,0,0.3
NBA Live 2005,3.19,0.35,0,0.4
NBA Live 96,0.16,0.11,0.04,0.02
NBA Live 97,0.55,0.38,0,0.07
NBA Live 98,1.41,0.06,0,0.04
NBA Live 99,1.58,0.07,0,0.03
NBA ShootOut,0.17,0.12,0,0.02
NBA ShootOut 2000,0.22,0.15,0,0.03
NBA ShootOut 2001,0.22,0.16,0,0.04
NBA ShootOut 2002,0.08,0.05,0,0.01
NBA ShootOut 2003,0.11,0.09,0,0.03
NBA ShootOut 2004,0.13,0.1,0,0.03
NBA ShootOut '97,0.35,0.24,0,0.04
NBA ShootOut 98,0.43,0.29,0,0.05
NBA Showtime: NBA on NBC,0.54,0.23,0,0.04
NBA Starting Five,0.11,0.08,0,0.02
NBA Street,2.52,0.31,0,0.39
NBA Street Homecourt,0.57,0.03,0,0.06
NBA Street V3,1.03,0.5,0,0.16
NBA Street Vol. 2,2.72,0.35,0,0.09
NBA Street: Showdown,0.2,0,0,0.02
NCAA Basketball 09,0.49,0.11,0,0.07
NCAA Basketball 10,0.61,0,0,0.05
NCAA Basketball Final Four 97,0.08,0.05,0,0.01
NCAA College Basketball 2K3,0.23,0.12,0,0.04
NCAA College Football 2K3,0.05,0.01,0,0
NCAA Final Four 2000,0.21,0.14,0,0.02
NCAA Final Four 2001,0.18,0.13,0,0.03
NCAA Final Four 2002,0.15,0.12,0,0.04
NCAA Final Four 2003,0.09,0.07,0,0.02
NCAA Final Four 2004,0.1,0.08,0,0.03
NCAA Football 06,2.26,0.26,0,0.28
NCAA Football 07,2.84,0.17,0,0.33
NCAA Football 08,1.71,0.05,0,0.19
NCAA Football 09,1.8,0.02,0,0.18
NCAA Football 09 All-Play,0.16,0,0,0.01
NCAA Football 10,2.09,0.22,0,0.22
NCAA Football 11,1.84,0.15,0,0.17
NCAA Football 12,1.72,0,0,0.11
NCAA Football 13,1.84,0,0,0.12
NCAA Football 14,1.76,0,0,0.12
NCAA Football 2000,0.53,0.36,0,0.06
NCAA Football 2001,0.39,0.26,0,0.05
NCAA Football 2002,0.77,0.6,0,0.2
NCAA Football 2003,1.71,0.23,0,0.22
NCAA Football 2004,1.87,0.14,0,0.25
NCAA Football 2005,2.12,0.15,0,0.26
NCAA Football 98,0.39,0.27,0,0.05
NCAA Football 99,0.59,0.4,0,0.07
NCAA Gamebreaker,0.15,0.1,0,0.02
NCAA GameBreaker 2000,0.22,0.15,0,0.03
NCAA GameBreaker 2001,0.25,0.18,0,0.04
NCAA GameBreaker 2003,0.11,0.09,0,0.03
NCAA GameBreaker 2004,0.11,0.09,0,0.03
NCAA Gamebreaker 99,0.25,0.17,0,0.03
NCAA March Madness 06,0.6,0.06,0,0.08
NCAA March Madness 07,0.47,0.22,0,0.09
NCAA March Madness 08,0.41,0.1,0,0.06
NCAA March Madness 2003,0.32,0.25,0,0.08
NCAA March Madness 2004,0.68,0.44,0,0.14
NCAA March Madness 2005,0.65,0.08,0,0.08
NCIS,0.26,0.13,0,0.05
NCIS 3D,0.06,0.04,0,0.01
Nectaris: Military Madness,0.02,0.01,0,0
Need for Speed (2015),0.79,1.85,0.05,0.42
Need for Speed Carbon,3.55,2.14,0.12,0.59
Need for Speed Carbon: Own the City,1.04,1,0,0.61
Need for Speed III: Hot Pursuit,2.14,0.86,0,0.13
Need for Speed Rivals,1.92,2.39,0.09,0.7
Need for Speed Underground,5.26,3.98,0.09,1.14
Need for Speed Underground 2,5.21,4.41,0.09,1.25
Need for Speed Underground Rivals,0.69,0.38,0.02,0.24
Need For Speed: High Stakes,1.58,0.64,0,0.09
Need for Speed: Hot Pursuit,2.38,2.67,0.03,0.8
Need for Speed: Hot Pursuit 2,3.04,0.51,0.02,0.14
Need for Speed: Most Wanted,6.29,5.85,0.18,1.76
Need for Speed: Most Wanted 5-1-0,1.77,0.13,0.02,0.18
Need for Speed: Nitro,0.68,0.44,0,0.12
Need for Speed: Porsche Unleashed,0.78,0.42,0,0.06
Need for Speed: ProStreet,3.35,2.56,0.1,2.61
Need for Speed: Shift,1.58,2.81,0.06,0.97
Need for Speed: Shift 2 Unleashed,0.43,0.69,0,0.2
Need for Speed: The Run,1.52,2.07,0.04,0.64
Need For Speed: Undercover,2.48,2.55,0.12,1.79
Need for Speed: V-Rally,0.43,0.29,0.09,0.06
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,0,0,0.04,0
Negima!? Chou Mahora Taisen Chuu: Checkiin Zenin Shuugou! Yappari Onsen Kichaimashitaa,0,0,0.02,0
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",0,0,0.04,0
Negima!? Dream Tactic Yumemiru Otome Princess,0,0,0.03,0
Neighborhood Games,0.17,0.02,0,0.01
Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,0,0,0.03,0
Nendoroid Generation,0,0,0.06,0
Neo Angelique,0,0,0.02,0
Neo Angelique Special,0,0,0.01,0
Neo Atlas,0,0,0.09,0.01
Neo Contra,0.1,0.08,0,0.03
NeoGeo Battle Coliseum,0.16,0.13,0,0.04
Neon Genesis Evangelion,0,0,0.5,0
Neon Genesis Evangelion 2nd Impression,0,0,0.42,0
Neopets Petpet Adventures: The Wand of Wishing,0.11,0,0,0.01
Neopets Puzzle Adventure,0.45,0.02,0,0.04
Neopets: The Darkest Faerie,0.15,0.12,0,0.04
Nep League DS,0,0,0.18,0
NERF N-Strike,0.92,0.09,0,0.09
NERF N-Strike Elite,0.93,0,0,0.07
NERF N-Strike: Double Blast Bundle,0.09,0,0,0
Nervous Brickdown,0,0.01,0,0
NES Open Tournament Golf,0.41,0.1,0.47,0.02
NES Remix,0.2,0,0.08,0.02
Net High,0,0,0.02,0
Netsu Chu! Pro Yakyuu 2002,0,0,0.25,0
Netsu Chu! Pro Yakyuu 2003,0,0,0.28,0
Nettou! Powerful Koushien,0,0,0.03,0
NeverDead,0.12,0.07,0.01,0.03
Neverland Card Battles,0.04,0,0,0.01
Neverwinter Nights,0,0.03,0,0.01
Neverwinter Nights 2,0,0.02,0,0
Neverwinter Nights 2: Mask of the Betrayer,0,0.01,0,0
Neverwinter Nights Diamond,0,0.02,0,0
NEVES,0.01,0,0,0
New Atelier Rorona: Hajimari no Monogatari,0,0,0.02,0
New Carnival Games,0.51,0.26,0,0.07
New International Track & Field,0.07,0,0,0.01
New Interpretation Stranger of Sword City,0,0,0.01,0
New Legends,0.07,0.02,0,0
New Love Plus,0,0,0.19,0
New Play Control! Donkey Kong Jungle Beat,0.24,0.17,0.14,0.05
New Play Control! Mario Power Tennis,0.37,0.69,0.28,0.14
New Play Control! Pikmin,0.29,0.14,0.19,0.04
New Play Control! Pikmin 2,0.11,0.14,0.33,0.02
New Prince of Tennis: Go to the Top,0,0,0.05,0
New Super Luigi U,1.27,0.62,0.18,0.16
New Super Mario Bros.,11.38,9.23,6.5,2.9
New Super Mario Bros. 2,3.66,3.07,2.47,0.63
New Super Mario Bros. U,2.32,1.3,1.27,0.31
New Super Mario Bros. Wii,14.59,7.06,4.7,2.26
New Tokyo Legacy: Operation Babel,0,0,0.03,0
"NewU Fitness First Mind Body, Yoga & Pilates Workout",0.12,0.02,0,0.01
Next Generation of Chaos,0,0,0.05,0
NFL 2K,1.12,0.05,0,0.02
NFL 2K1,1.02,0.05,0,0.02
NFL 2K2,0.57,0.38,0,0.12
NFL 2K3,1.61,0.23,0,0.21
NFL Blitz,2.43,0.09,0,0.05
NFL Blitz 2000,1.15,0.43,0,0.07
NFL Blitz 2001,0.67,0.29,0,0.04
NFL Blitz 20-02,0.28,0.15,0,0.04
NFL Blitz 20-03,0.43,0.23,0,0.07
NFL Blitz Pro,0.17,0.1,0,0.03
NFL Fever 2002,0.74,0.21,0,0.04
NFL Fever 2003,0.46,0.13,0,0.02
NFL Fever 2004,0.24,0.07,0,0.01
NFL GameDay,0.47,0.32,0,0.06
NFL GameDay 2000,1,0.68,0,0.12
NFL GameDay 2001,0.74,0.52,0,0.12
NFL GameDay 2002,0.42,0.3,0,0.08
NFL GameDay 2003,0.2,0.15,0,0.05
NFL GameDay 2004,0.2,0.16,0,0.05
NFL GameDay '97,0.48,0.33,0,0.06
NFL GameDay 98,1.58,0.06,0,0.04
NFL GameDay 99,1.44,0.05,0,0.04
NFL Head Coach,0.47,0.04,0,0.06
NFL Head Coach 09,0.24,0,0,0.02
NFL QB Club 2001,0.11,0.01,0,0
NFL Quarterback Club 2000,0.37,0.03,0,0
NFL Quarterback Club 2002,0.15,0.09,0,0.03
NFL Quarterback Club 97,0.12,0.08,0,0.01
NFL Quarterback Club 98,1.01,0.05,0,0.01
NFL Quarterback Club 99,0.59,0.02,0,0
NFL Street,1.91,0.3,0,0.22
NFL Street 2,1.3,0.77,0,0.24
NFL Street 2 Unleashed,0.34,0,0,0.03
NFL Street 3,0.24,0,0,0.02
NFL Tour,0.19,0.01,0,0.02
NFL Xtreme,0.38,0.26,0,0.05
NFL Xtreme 2,0.27,0.18,0,0.03
NHL 06,0.73,0.09,0,0.09
NHL 07,0.82,0.06,0,0.11
NHL 08,0.38,0.07,0,0.05
NHL 09,0.81,0.11,0,0.09
NHL 10,0.89,0.22,0,0.13
NHL 11,1.01,0.2,0,0.12
NHL 12,0.91,0.26,0,0.12
NHL 13,0.84,0.33,0,0.15
NHL 14,0.68,0.29,0,0.13
NHL 15,1.17,0.42,0,0.23
NHL 16,0.72,0.25,0,0.17
NHL 17,0.26,0.05,0,0.06
NHL 2000,0.48,0.33,0,0.06
NHL 2001,0.82,0.61,0,0.16
NHL 2002,0.88,0.55,0,0.16
NHL 2003,0.71,0.43,0,0.13
NHL 2004,0.68,0.43,0,0.13
NHL 2005,0.39,0.21,0,0.07
NHL 2K10,0.74,0.18,0,0.1
NHL 2K11,0.24,0.02,0,0.02
NHL 2K3,0.2,0.1,0,0.03
NHL 2K6,0.46,0.21,0,0.07
NHL 2K7,0.19,0,0,0.02
NHL 2K8,0.19,0.02,0,0.02
NHL 2K9,0.39,0.07,0,0.05
NHL 97,0.26,0.18,0,0.03
NHL 98,0.51,0.35,0,0.06
NHL 99,0.97,0.41,0,0.07
NHL Blades of Steel 2000,0.02,0.01,0,0
NHL Blades of Steel '99,0.05,0,0,0
NHL Breakaway 98,0.38,0.07,0,0.01
NHL Breakaway 99,0.07,0.01,0,0
NHL Championship 2000,0.12,0.08,0,0.01
NHL FaceOff,0.25,0.17,0,0.03
NHL FaceOff 2000,0.17,0.12,0,0.02
NHL FaceOff 2001,0.23,0.16,0,0.04
NHL FaceOff 2003,0.11,0.09,0,0.03
NHL FaceOff '97,0.26,0.17,0,0.03
NHL FaceOff 98,0.28,0.19,0,0.03
NHL FaceOff 99,0.24,0.16,0,0.03
NHL Hitz 20-02,0.64,0.32,0,0.09
NHL Hitz 20-03,0.28,0.15,0,0.04
NHL Hitz Pro,0.17,0.09,0,0.02
NHL Legacy,0.08,0,0,0.02
NHL Open Ice,0.04,0.03,0,0
NHL Powerplay '96,0.06,0.04,0,0.01
NHL Powerplay 98,0.03,0.02,0,0
NHL Rivals 2004,0.08,0.02,0,0
NHL Rock the Rink,0.14,0.1,0,0.02
NHL Slapshot,0.4,0,0,0.02
NHRA Championship Drag Racing,0.12,0.09,0,0.03
NHRA Drag Racing: Countdown to the Championship,0.05,0.01,0,0
"Ni Hao, Kai-lan: New Year's Celebration",0.19,0,0,0.01
"Ni Hao, Kai-lan: Super Game Day",0.22,0.03,0,0.02
Ni no Kuni: Wrath of the White Witch,0.6,0.51,0.21,0.23
Nichibeikan Pro Yakyuu: Final League,0,0,0.07,0
Nichibutsu Arcade Classics,0,0,0.28,0
Nickelodeon Dance,0.31,0.03,0,0.03
Nickelodeon Fit,0.78,0.09,0,0.06
Nickelodeon Party Blast,0.35,0.1,0,0.02
Nickelodeon Team Umizoomi,0.45,0,0,0.03
Nicktoons Collection: Game Boy Advance Video Volume 1,0.46,0.17,0,0.01
Nicktoons Collection: Game Boy Advance Video Volume 2,0.16,0.06,0,0
Nicktoons Collection: Game Boy Advance Video Volume 3,0.01,0.01,0,0
Nicktoons: Attack of the Toybots,0.68,0.19,0,0.09
Nicktoons: Battle for Volcano Island,0.5,0.06,0,0.03
Nicktoons: Freeze Frame Frenzy,0.29,0.11,0,0.01
Nicktoons: MLB,0.37,0,0,0.03
Nicktoons: Movin',0.16,0.12,0,0.04
NickToons: Racing,0.28,0.13,0,0.01
